customer_id,split,suspicious_activity_confirmed,predicted_probability,top_feature_1,top_feature_2,top_feature_3,rank
CUST_0117,train,1.0,0.9883,txn_type_international_wire,monthly_vol_cv,declined_ratio,1
CUST_0511,train,1.0,0.988,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,2
CUST_0756,train,1.0,0.9816,declined_ratio,monthly_vol_cv,inflow_outflow_ratio,3
CUST_0553,train,1.0,0.9811,txn_type_international_wire,monthly_vol_cv,declined_ratio,4
CUST_0776,train,1.0,0.9783,txn_type_international_wire,monthly_vol_cv,declined_ratio,5
CUST_0983,val,1.0,0.9778,txn_type_international_wire,monthly_vol_cv,declined_ratio,6
CUST_0644,train,1.0,0.9761,txn_type_international_wire,monthly_vol_cv,declined_ratio,7
CUST_1161,val,1.0,0.9755,declined_ratio,monthly_vol_cv,txn_type_international_wire,8
CUST_0778,train,1.0,0.9724,txn_type_international_wire,monthly_vol_cv,unique_counterparties,9
CUST_0748,val,1.0,0.9696,txn_type_international_wire,unique_counterparties,declined_ratio,10
CUST_0842,train,1.0,0.9696,txn_type_international_wire,monthly_vol_cv,declined_ratio,10
CUST_0115,val,1.0,0.9631,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,12
CUST_0407,train,1.0,0.9623,txn_type_international_wire,monthly_vol_cv,declined_ratio,13
CUST_0197,test,,0.9619,monthly_vol_cv,txn_type_international_wire,declined_ratio,14
CUST_0788,train,1.0,0.9591,txn_type_international_wire,monthly_vol_cv,declined_ratio,15
CUST_0333,train,1.0,0.9566,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,16
CUST_0640,train,1.0,0.956,declined_ratio,monthly_vol_cv,declined_txn_count,17
CUST_0546,train,1.0,0.9553,txn_type_international_wire,monthly_vol_cv,declined_ratio,18
CUST_0991,val,1.0,0.9548,txn_type_international_wire,unique_counterparties,declined_ratio,19
CUST_0189,test,,0.9515,txn_type_international_wire,monthly_vol_cv,declined_ratio,20
CUST_1059,val,1.0,0.9508,txn_type_international_wire,inflow_outflow_ratio,monthly_vol_cv,21
CUST_1050,train,1.0,0.9424,declined_ratio,txn_type_international_wire,monthly_vol_cv,22
CUST_1147,train,1.0,0.9395,txn_type_international_wire,unique_counterparties,declined_ratio,23
CUST_0505,test,,0.9387,txn_type_international_wire,unique_counterparties,declined_ratio,24
CUST_0606,test,,0.9337,monthly_vol_cv,txn_type_international_wire,declined_ratio,25
CUST_0586,train,1.0,0.9321,txn_type_international_wire,monthly_vol_cv,avg_monthly_transaction_count,26
CUST_1102,train,1.0,0.9296,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,27
CUST_0631,train,1.0,0.9228,txn_type_international_wire,unique_counterparties,declined_ratio,28
CUST_0462,val,1.0,0.9214,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,29
CUST_0188,train,1.0,0.9087,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,30
CUST_0446,train,1.0,0.9067,monthly_vol_cv,txn_type_international_wire,inflow_outflow_ratio,31
CUST_1127,train,1.0,0.891,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,32
CUST_0458,val,1.0,0.8423,txn_type_international_wire,declined_ratio,txn_type_direct_debit,33
CUST_0594,val,1.0,0.7962,declined_ratio,monthly_vol_cv,txn_type_international_wire,34
CUST_0180,test,,0.7928,monthly_vol_cv,txn_type_international_wire,declined_ratio,35
CUST_0440,test,,0.7666,txn_type_international_wire,declined_ratio,monthly_vol_cv,36
CUST_0237,test,,0.7556,txn_type_international_wire,declined_ratio,monthly_vol_cv,37
CUST_0503,train,0.0,0.7546,txn_type_international_wire,declined_ratio,monthly_vol_cv,38
CUST_0963,test,,0.7332,txn_type_international_wire,monthly_vol_cv,declined_ratio,39
CUST_0077,test,,0.7327,txn_type_international_wire,monthly_vol_cv,declined_ratio,40
CUST_0126,test,,0.7277,declined_ratio,txn_type_international_wire,monthly_vol_cv,41
CUST_0485,test,,0.7232,txn_type_international_wire,declined_ratio,monthly_vol_cv,42
CUST_0439,test,,0.7064,txn_type_international_wire,monthly_vol_cv,declined_ratio,43
CUST_1175,test,,0.6955,monthly_vol_cv,txn_type_international_wire,unique_counterparties,44
CUST_0947,test,,0.6712,txn_type_direct_debit,declined_ratio,monthly_vol_cv,45
CUST_0179,test,,0.6538,txn_type_international_wire,monthly_vol_cv,declined_ratio,46
CUST_0091,test,,0.6336,txn_type_international_wire,monthly_vol_cv,max_counterparty_share,47
CUST_0786,test,,0.6296,txn_type_international_wire,inflow_outflow_ratio,declined_ratio,48
CUST_1189,test,,0.6179,declined_ratio,txn_type_international_wire,monthly_vol_cv,49
CUST_1055,test,,0.6169,txn_type_international_wire,monthly_vol_cv,declined_ratio,50
CUST_0868,test,,0.6067,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,51
CUST_0185,test,,0.5706,txn_type_international_wire,monthly_vol_cv,max_counterparty_share,52
CUST_0261,test,,0.5487,monthly_vol_cv,max_counterparty_share,txn_type_international_wire,53
CUST_1086,val,0.0,0.5004,txn_type_international_wire,declined_ratio,monthly_vol_cv,54
CUST_0235,test,,0.4912,txn_type_international_wire,declined_ratio,monthly_vol_cv,55
CUST_1137,train,0.0,0.4854,txn_type_international_wire,declined_ratio,monthly_vol_cv,56
CUST_0914,test,,0.4778,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,57
CUST_0184,train,0.0,0.4761,inflow_outflow_ratio,txn_type_international_wire,monthly_vol_cv,58
CUST_1077,test,,0.4541,max_counterparty_share,txn_type_international_wire,declined_ratio,59
CUST_1008,test,,0.437,declined_ratio,txn_type_international_wire,monthly_vol_cv,60
CUST_0279,test,,0.4302,txn_type_international_wire,declined_ratio,monthly_vol_cv,61
CUST_0330,val,0.0,0.4202,txn_type_international_wire,unique_counterparties,monthly_vol_cv,62
CUST_0678,val,0.0,0.42,monthly_vol_cv,txn_type_international_wire,declined_ratio,63
CUST_0861,test,,0.4186,declined_ratio,monthly_vol_cv,txn_type_international_wire,64
CUST_0105,train,0.0,0.3997,txn_type_international_wire,max_counterparty_share,monthly_vol_cv,65
CUST_0691,test,,0.3978,txn_type_direct_debit,txn_type_international_wire,declined_ratio,66
CUST_0714,test,,0.3905,txn_type_international_wire,inflow_outflow_ratio,txn_type_direct_debit,67
CUST_0029,test,,0.3776,declined_ratio,txn_type_international_wire,monthly_vol_cv,68
CUST_0006,test,,0.3654,inflow_outflow_ratio,txn_type_international_wire,monthly_vol_cv,69
CUST_0019,train,0.0,0.3603,declined_ratio,txn_type_international_wire,monthly_vol_cv,70
CUST_0382,val,0.0,0.3592,txn_type_international_wire,inflow_outflow_ratio,monthly_vol_cv,71
CUST_1026,test,,0.359,txn_type_international_wire,declined_ratio,monthly_vol_cv,72
CUST_1081,train,0.0,0.3489,monthly_vol_cv,txn_type_international_wire,declined_ratio,73
CUST_0264,test,,0.3487,monthly_vol_cv,declined_ratio,inflow_outflow_ratio,74
CUST_0754,test,,0.3358,txn_type_direct_debit,txn_type_international_wire,monthly_vol_cv,75
CUST_0121,train,0.0,0.3357,txn_type_international_wire,declined_ratio,monthly_vol_cv,76
CUST_0601,train,0.0,0.333,txn_type_international_wire,inflow_outflow_ratio,declined_ratio,77
CUST_0870,train,0.0,0.3182,txn_type_international_wire,declined_ratio,max_single_txn,78
CUST_0905,train,0.0,0.3131,txn_type_international_wire,monthly_vol_cv,monthly_cnt_cv,79
CUST_0207,test,,0.3107,monthly_cnt_cv,inflow_outflow_ratio,txn_amount_cv,80
CUST_0528,test,,0.3044,txn_type_international_wire,inflow_outflow_ratio,monthly_vol_cv,81
CUST_0992,test,,0.2952,txn_type_international_wire,declined_ratio,inflow_outflow_ratio,82
CUST_0366,train,0.0,0.2771,txn_type_international_wire,inflow_outflow_ratio,txn_type_direct_debit,83
CUST_0711,train,0.0,0.2688,avg_monthly_transaction_count,txn_type_international_wire,monthly_vol_cv,84
CUST_0219,test,,0.2636,txn_type_international_wire,monthly_vol_cv,inflow_outflow_ratio,85
CUST_0038,test,,0.2622,txn_type_international_wire,declined_ratio,inflow_outflow_ratio,86
CUST_0996,test,,0.2613,declined_ratio,txn_type_international_wire,max_counterparty_share,87
CUST_0523,train,0.0,0.2596,txn_type_international_wire,declined_ratio,max_counterparty_share,88
CUST_0411,test,,0.2561,declined_ratio,txn_type_international_wire,monthly_vol_cv,89
CUST_0344,train,0.0,0.2541,inflow_outflow_ratio,txn_type_direct_debit,txn_type_international_wire,90
CUST_0342,val,0.0,0.2539,txn_type_direct_debit,txn_type_international_wire,inflow_outflow_ratio,91
CUST_0045,test,,0.2535,txn_type_international_wire,txn_type_direct_debit,inflow_outflow_ratio,92
CUST_0307,train,0.0,0.2447,inflow_outflow_ratio,txn_type_direct_debit,declined_ratio,93
