,importance
monthly_vol_cv,0.49948513193823163
intl_volume,0.08317924526759672
txn_type_international_wire,0.06200877097374443
unique_counterparties,0.038743737990690544
income_volume_ratio,0.026846076347346023
max_single_txn,0.026046244364039357
volume_cash_deposit,0.021737730386793105
avg_monthly_transaction_count,0.021492130576292737
monthly_cnt_cv,0.020763513242424755
max_single_transaction_6m,0.019385586238821702
pct_international_transactions,0.017265642472115202
txn_type_direct_debit,0.016641715837313838
tenure_years,0.016478668172319483
total_outflow,0.015022098677067315
count_vs_baseline,0.013958189708846037
declined_txn_count,0.012077671453437031
total_volume,0.008423935759715962
avg_monthly_volume,0.007306823857827754
geographic_spread_score,0.006643260710900245
declined_ratio,0.006634595107169362
